model,image_attack,sketch_attack,Clean_IM_Loss,BIM_IM_Loss,Clean_SK_Loss,BIM_SK_Loss,Clean_LA_Loss,BIM_LA_Loss
1V,True,False,0.012184465834403866,0.06503214574975597,,,,
1V,True,False,0.011993280475636837,0.05796354323945457,,,,
1V,True,False,0.011452593311918443,0.12206898467983374,,,,
1V,True,False,0.011324987160229366,0.1737465568950577,,,,
1V,True,False,0.011503091562952029,0.1171766076782392,,,,
1V,True,False,0.012170697155757002,0.04269986813413125,,,,
1V,True,False,0.012688084214673961,0.04942930505924514,,,,
2V-IS,True,False,0.01555586610940144,0.12492250163514275,0.06653793462325953,0.10264362165185575,,
2V-IS,True,False,0.01497879124577244,0.07423092604302767,0.06731334386278434,0.0900794202378773,,
2V-IS,True,False,0.014759990783504413,0.14938084317763842,0.06429541385531469,0.10292465446688397,,
2V-IS,True,False,0.015992046647386706,0.0931161234533993,0.06484023168202267,0.0959368546463042,,
2V-IS,True,False,0.015752728020441312,0.07333706586274744,0.06696916274044704,0.0893954650078014,,
2V-IS,True,False,0.015098899947919128,0.06898476109594952,0.06655498674609596,0.08891679554250967,,
2V-IS,True,False,0.014748825138347715,0.0740881015582099,0.06346554646995077,0.08582950030155352,,
2V-IS,True,False,0.014602858121684884,0.15584970849607643,0.06434827724233455,0.10619978516315548,,
2V-IS,True,False,0.015559577638650606,0.09037541862273639,0.06578992304766818,0.09501269768538707,,
2V-IS,True,False,0.01637710944720166,0.1513457313320954,0.06569590905868113,0.1005506612812449,,
2V-IL,True,False,0.014172878195744355,0.08755269198478802,,,0.0007678416174985405,1.5180513261965352
2V-IL,True,False,0.0140533972094576,0.07705911126924378,,,0.0007324810520304091,0.15535718062718418
2V-IL,True,False,0.013675562342327113,0.11653788086369718,,,0.0009440870888688591,1.0857113015324293
2V-IL,True,False,0.015420152791011929,0.11149798269894537,,,0.0008030054232044105,2.105704014348254
2V-IL,True,False,0.0145745246002653,0.1206882423113036,,,0.0009161780338685783,0.9725782227514573
2V-IL,True,False,0.014247022397885185,0.10311716531117478,,,0.0008134087037813218,0.9948953528418515
2V-IL,True,False,0.013330201167666107,0.07553963915573511,,,0.0009944925764768353,0.34687383348679907
2V-IL,True,False,0.013673628938223431,0.1262143123090898,,,0.0009730613019710086,1.2909614421285895
2V-IL,True,False,0.015076174750555869,0.10327114816142285,,,0.0010601263887523751,2.027723080300773
2V-IL,True,False,0.01576936868537251,0.11420602736004137,,,0.0039484697838363895,1.225578202848426
3V,True,False,0.014524284994410523,0.18638895619250662,0.05912861400370648,0.08308790321909737,0.0015396105231229899,1.5376028903374321
3V,True,False,0.015393358734475398,0.1917572121495165,0.05967932649242995,0.08503908393468004,0.0009967463971454254,1.8833208274271638
3V,True,False,0.014677115048933057,0.18626437650303676,0.0565699019477084,0.08228446635033099,0.0013100464596638118,2.018934432814028
3V,True,False,0.015957577874414944,0.19580708678885025,0.05741115929992255,0.08309586018787649,0.0017881343336061976,2.2140868353834913
3V,True,False,0.015271053899920528,0.19546398490518052,0.058963263522523526,0.08629435816270484,0.0010925303999849865,2.34656196065452
3V,True,False,0.01508160372603674,0.19076627520225087,0.058845500380794016,0.08494984655744327,0.0014227569813814447,2.388675288698789
3V,True,False,0.014580874832957358,0.19165118727667568,0.05645655182156527,0.07966763705237233,0.0027620468222664717,1.5293213314735354
3V,True,False,0.014447007679951596,0.18371928390568185,0.05647276663258632,0.08055506611351798,0.0013399973216239088,1.6374182060197313
